name,color,description
bug,d73a4a,Something isn't working
documentation,0075ca,Improvements or additions to documentation
duplicate,cfd3d7,This issue or pull request already exists
enhancement,a2eeef,New feature or request
good first issue,7057ff,Good for newcomers
help wanted,008672,Extra attention is needed
invalid,e4e669,This doesn't seem right
question,d876e3,Further information is requested
research,6D1C7F,This will consist mostly of information gathering
wontfix,ffffff,This will not be worked on
placeholder,453411,Placeholder for one or more future issues
development,98EE84,This issue requires development work
